"year","rating","length","movie_name","Genres:","Rate:","Added to Netflix:","Director:","Cast:","Production Country:","New Season Added:"
"2021",NA,"1 Season","Bake Squad","Reality TV","","August 11, 2021",NA,NA,NA,NA
"2016",NA,"101 min","Brother Jekwu","Comedies, International Movies","","August 11, 2021","Charles Uwagbai","Mike Ezuruonye, Juliet Ochienge, Angela Okorie, Huddah Monroe, Catherine Kamau, Naomi Mburu, Derrick Aduwo, Chris Kamau, Abubakar Salum, Celebrity Landlord",NA,NA
"2020",NA,"127 min","La diosa del asfalto","Dramas, Independent Movies, International Movies","","August 11, 2021","Julián Hernández","Ximena Romo, Mabel Cadena, Alejandra Herrera, Nelly González, Samantha Orozco, Axel Arenas, Esteban Caicedo, Paulina Goto, Raquel Robles, Baby Bátiz, Pascacio López, Juán Carlos Torres, Javier Oliván, Claudia Lobo, Giovanna Zacarías",NA,NA
"2021","7.2/10","90 min","Misha and the Wolves","Documentaries, International Movies","","August 11, 2021","Sam Hobkinson",NA,"Belgium, United Kingdom",NA
"2021",NA,"114 min","The Kissing Booth 3","Comedies, Romantic Movies","","August 11, 2021","Vince Marcello","Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young, Stephen Jennings",NA,NA
"2013","7.0/10","108 min","The Railway Man","Dramas, International Movies","","August 11, 2021","Jonathan Teplitzky","Colin Firth, Nicole Kidman, Jeremy Irvine, Stellan Skarsgard, Sam Reid, Hiroyuki Sanada, Michael MacKenzie, Tom Stokes","Switzerland, United Kingdom, Australia",NA
"2021","6.7/10","2 Seasons","Gabby's Dollhouse","Kids' TV","",NA,NA,"Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld, Maggi Lowe, Donovan Patton, Eduardo Franco, Tara Strong, Secunda Wood, Carla Tassara, Sainty Nelsen","United States","August 10, 2021"
"2021",NA,"1 Season","I Need Romance","International TV Shows, Romantic TV Shows, TV Comedies","","August 10, 2021","Sakon Tiacharoen","Khemanit Jamikorn, Thitipoom Techaapaikhun, Kannaporn Puangthong, Premmanat Suwannanon, Mintita Wattanakul, Thames Sanpakit, Katareeya Theapchatri, Phanuroj Chalermkijporntavee, Jirapisit Jaravijit",NA,NA
"2018","6.8/10","1 Season","Las munecas de la mafia","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","",NA,NA,"Amparo Grisales, Fernando Solórzano, Angelica Blandon, Katherine Escobar, Yuly Ferreira, Alejandra Sandoval, Andrea Gómez, Andrea Guzmán, Diego Vásquez, Julián Román, Juan Pablo Franco","Colombia","August 10, 2021"
"2019","7.6/10","1 Season","The Crowned Clown","International TV Shows, Romantic TV Shows, TV Dramas","","August 10, 2021",NA,"Yeo Jin-goo, Lee Se-young, Kim Sang-kyung, Jung Hye-young, Jang Kwang, Kwon Hae-hyo, Jang Yeong-nam, Lee Kyu-han","South Korea",NA
"2021",NA,"70 min","Untold: Malice at the Palace","Movies","","August 10, 2021","Floyd Russ",NA,NA,NA
"2021","7.6/10","1 Season","SHAMAN KING","Anime Series, International TV Shows","","August 9, 2021",NA,"Yoko Hikasa, Katsuyuki Konishi, Megumi Hayashibara, Inuko Inuyama, Romi Park, Kosuke Takaguchi, Masahiko Tanaka, Wataru Takagi, Yuji Ueda, Megumi Nakajima, Takehito Koyasu, Yoko Soumi, Motoko Kumai, Yui Horie, Yuichi Nakamura, Nana Mizuki, Takumu Miyazono, Noriaki Kanze, Michiko Neya, Toru Sakurai, Rina Hidaka, Masakazu Morita, Minami Takayama","Japan",NA
"2012","7.0/10","98 min","Quartet","Comedies, Dramas, Independent Movies","","August 8, 2021","Dustin Hoffman","Maggie Smith, Tom Courtenay, Billy Connolly, Pauline Collins, Michael Gambon, Andrew Sachs, Sheridan Smith, David Ryall, Trevor Peacock, Gwyneth Jones","United Kingdom",NA
"2021","3.6/10","86 min","Slay","Comedies, International Movies, Romantic Movies","","August 8, 2021","Adze Ugah","Enhle Mbali, Ramsey Nouah, Dawn Thandeka Kang, Idris Sultan, Tumi Morake, Trevor Gumbi, Lillian Dube, Kaly Bossy Asante, Shaleen Surtie, Fabian Lojege","South Africa",NA
"2020",NA,"139 min","Takizawa Kabuki ZERO 2020 The Movie","International Movies, Music & Musicals","","August 7, 2021","Hideaki Takizawa","Hikaru Iwamoto, Tatsuya Fukazawa, Raul, Shota Watanabe, Koji Mukai, Ryohei Abe, Ren Meguro, Ryota Miyadate, Daisuke Sakuma, Arata Sato, Tatsuya Kageyama, Taiga Suzuki, Shunsuke Motoi, Taiga Tsubaki, Yuki Yokohara, Minato Matsui, Shosei Oda",NA,NA
"2021","6.4/10","111 min","The Paper Tigers","Action & Adventure, Comedies","","August 7, 2021","Quoc Bao Tran","Alain Uy, Ron Yuan, Mykel Shannon Jenkins, Jae Suh Park, Matthew Page, Joziah Lagonoy, Raymond Ma","United States",NA
"2021",NA,"1 Season","Hit & Run","TV Action & Adventure, TV Dramas, TV Mysteries","","August 6, 2021",NA,"Lior Raz, Kaelen Ohm, Sanaa Lathan, Moran Rosenblatt, Lior Ashkenazi, Gregg Henry, Gal Toren",NA,NA
"2021",NA,"1 Season","Navarasa","TV Shows","","August 6, 2021","Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon","Suriya, Vijay Sethupathi, Revathy, Prakash Raj, Siddarth, Parvathy, Delhi Ganesh, Gautham Vasudev Menon, Anjali, Yogi Babu, Aditi Balan, Remya Nambeesan, Poorna, Prayaga Martin, Rythvika Suriya, Arvind Swamy, Prasanna, Atharva, Bobby Simha, Ashok Selvan, Nedumudi Venu, Kishore",NA,NA
"2020",NA,"115 min","Quam's Money","Comedies, Dramas, International Movies","","August 6, 2021","Kayode Kasum","Falz, Nse Ikpe-Etim, Williams Uchemba, Toni Tones, Michelle Dede, Karibi Fubara, Buchi Ojei, Jemima Osunde, Blossom Chukwujekwu, Gbubemi Ejeye, Badmus Olakunle",NA,NA
"2021",NA,"102 min","The Swarm","Horror Movies, Independent Movies, International Movies","","August 6, 2021","Just Philippot","Suliane Brahim, Sofian Khammes, Marie Narbonne, Raphaël Romand, Stéphan Castang, Victor Bonnel, Christian Bouillette, Renan Prévot, Vincent Deniard",NA,NA
"2021","6.7/10","100 min","Vivo","Children & Family Movies, Music & Musicals","","August 6, 2021","Kirk DeMicco, Brandon Jeffords","Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana, Juan de Marcos, Brian Tyree Henry, Gloria Estefan, Michael Rooker, Nicole Byer","Canada, United States",NA
"2013","6.3/10","135 min","Chennai Express","Action & Adventure, Comedies, International Movies","","August 5, 2021","Rohit Shetty","Shah Rukh Khan, Deepika Padukone, Nikitin Dheer, Satyaraj, Kamini Kaushal, Lekh Tandon, Mukesh Tiwari","India",NA
"2013","6.6/10","69 min","City of God: 10 Years Later","Documentaries, International Movies","","August 5, 2021","Cavi Borges, Luciano Vidigal",NA,"Brazil",NA
